Domain (BLEU),BLEU Average,Domain (METEOR),METEOR Average,Domain (BERT-F1),BERT-F1 Average
Law,39.69718011067091,Law,0.6877614490605611,News,0.9493436276912689
Medicine,23.458797282072798,Nonfiction,0.546601651732078,Marketing,0.9491398692131042
Marketing,19.065939236825088,Medicine,0.5419992099980475,Law,0.9482243418693542
Nonfiction,17.96461630992219,News,0.4569433566662222,Medicine,0.9451120694478353
Agriculture,15.2371908881783,Social Media Post,0.42353053627327936,Nonfiction,0.9383016467094422
Technology,15.145856468648715,Marketing,0.41770176603463527,Social Media Post,0.9367444694042206
News (long-form),14.581976437282544,Agriculture,0.414552439282463,Fiction,0.9363804936408997
News,12.702032081393448,Fiction,0.4116957262015724,Agriculture,0.9272832036018371
Fiction,8.38678806674562,News (long-form),0.4106865539108087,Technology,0.924850849310557
Social Media Post,7.663361388610831,Technology,0.3950332182729886,News (long-form),0.9206234574317932
